Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2020,1,1,00:00,UTC,2.3,4,-1.2
2020,1,2,00:00,UTC,4.3,5.6,2.6
2020,1,3,00:00,UTC,5.1,6.2,4.7
2020,1,4,00:00,UTC,2.5,5.4,2.1
2020,1,5,00:00,UTC,-1,2.2,-4.2
2020,1,6,00:00,UTC,2.1,3.3,-1.5
2020,1,7,00:00,UTC,5,5.9,3.2
2020,1,8,00:00,UTC,5.7,7.4,4.7
2020,1,9,00:00,UTC,2.9,7.5,1.5
2020,1,10,00:00,UTC,-1.5,1.6,-2.4
2020,1,11,00:00,UTC,0.8,4.3,-4
2020,1,12,00:00,UTC,5.5,6.5,3.2
2020,1,13,00:00,UTC,2.3,5.7,1.3
2020,1,14,00:00,UTC,3.8,4.7,2.4
2020,1,15,00:00,UTC,6.1,7.4,3.3
2020,1,16,00:00,UTC,5.5,6.9,4.6
2020,1,17,00:00,UTC,4.7,5.8,3.3
2020,1,18,00:00,UTC,3.9,5.2,2.4
2020,1,19,00:00,UTC,4,5.4,2.7
2020,1,20,00:00,UTC,3.7,4.5,1.8
2020,1,21,00:00,UTC,5.6,8.3,3.5
2020,1,22,00:00,UTC,1.7,4.5,-0.1
2020,1,23,00:00,UTC,0.9,4,-2
2020,1,24,00:00,UTC,2.1,4,1.3
2020,1,25,00:00,UTC,1.2,2.8,0.3
2020,1,26,00:00,UTC,3.5,5.6,-0.6
2020,1,27,00:00,UTC,1.1,3.7,-0.4
2020,1,28,00:00,UTC,3.4,4.1,2
2020,1,29,00:00,UTC,2,3.3,0.9
2020,1,30,00:00,UTC,2,2.7,1.1
2020,1,31,00:00,UTC,2.2,2.7,1.4
2020,2,1,00:00,UTC,2.9,3.2,2
2020,2,2,00:00,UTC,4.1,5.5,2.4
2020,2,3,00:00,UTC,0,2.4,-1.1
2020,2,4,00:00,UTC,-3.8,-1.1,-5.3
2020,2,5,00:00,UTC,-0.6,2.2,-6.1
2020,2,6,00:00,UTC,-2.8,2.2,-5.3
2020,2,7,00:00,UTC,-3,0.3,-7.1
2020,2,8,00:00,UTC,1.3,2.7,-0.1
2020,2,9,00:00,UTC,3.7,4.1,2.5
2020,2,10,00:00,UTC,4.1,5.2,3.2
2020,2,11,00:00,UTC,3.6,4.9,2
2020,2,12,00:00,UTC,3.1,4.3,0.5
2020,2,13,00:00,UTC,2.2,3.7,1.6
2020,2,14,00:00,UTC,-0.4,1.6,-2.1
2020,2,15,00:00,UTC,2.4,3.4,-1.9
2020,2,16,00:00,UTC,4,4.8,2.9
2020,2,17,00:00,UTC,5.3,5.8,4.1
2020,2,18,00:00,UTC,5.4,6.2,4.9
2020,2,19,00:00,UTC,4.3,6.5,3.5
2020,2,20,00:00,UTC,1.6,3.8,0.3
2020,2,21,00:00,UTC,3.5,4.4,0.8
2020,2,22,00:00,UTC,4.3,4.9,2.1
2020,2,23,00:00,UTC,4.1,6.2,2.5
2020,2,24,00:00,UTC,2,4.6,0.8
2020,2,25,00:00,UTC,-0.9,1.7,-3
2020,2,26,00:00,UTC,-0.7,1.8,-1.9
2020,2,27,00:00,UTC,-3,0.1,-5.8
2020,2,28,00:00,UTC,-3.5,1.1,-6.8
2020,2,29,00:00,UTC,-2,2.2,-8.2
2020,3,1,00:00,UTC,2.2,4.1,0.5
2020,3,2,00:00,UTC,3.6,5.3,2.7
2020,3,3,00:00,UTC,2.6,3.8,1.4
2020,3,4,00:00,UTC,2.3,3.2,0.6
2020,3,5,00:00,UTC,3.3,3.9,2.8
2020,3,6,00:00,UTC,2.7,5.1,1.1
2020,3,7,00:00,UTC,1.4,4,-1.2
2020,3,8,00:00,UTC,1.4,3.6,-2.2
2020,3,9,00:00,UTC,4.1,5.4,3
2020,3,10,00:00,UTC,3.8,5,3.1
2020,3,11,00:00,UTC,3.5,4.3,3
2020,3,12,00:00,UTC,4.1,6.7,2.9
2020,3,13,00:00,UTC,1.4,4,0.1
2020,3,14,00:00,UTC,-1.8,0.8,-4.6
2020,3,15,00:00,UTC,1.8,4.2,-3.6
2020,3,16,00:00,UTC,3.4,6.2,1
2020,3,17,00:00,UTC,2.3,4.8,-3.3
2020,3,18,00:00,UTC,4.7,6.3,3.8
2020,3,19,00:00,UTC,4.3,8.1,1.3
2020,3,20,00:00,UTC,1,5.3,-0.8
2020,3,21,00:00,UTC,-1.5,2.6,-5.3
2020,3,22,00:00,UTC,-0.6,2,-4.9
2020,3,23,00:00,UTC,2.2,4.2,-0.2
2020,3,24,00:00,UTC,3.8,5.7,2.2
2020,3,25,00:00,UTC,5.2,6.5,3.5
2020,3,26,00:00,UTC,4.9,7.4,3.6
2020,3,27,00:00,UTC,4.4,6.3,2.5
2020,3,28,00:00,UTC,5.5,9.5,3.2
2020,3,29,00:00,UTC,0.4,5.3,-1.9
2020,3,30,00:00,UTC,-0.9,2.9,-3.6
2020,3,31,00:00,UTC,-0.2,2.3,-5.4
2020,4,1,00:00,UTC,4.1,8,1
2020,4,2,00:00,UTC,4.5,6.2,1.8
2020,4,3,00:00,UTC,2.6,5.8,0.4
2020,4,4,00:00,UTC,3,6.9,-0.1
2020,4,5,00:00,UTC,3.6,8,-0.8
2020,4,6,00:00,UTC,5.6,8.3,2.2
2020,4,7,00:00,UTC,7.4,11.9,4.6
2020,4,8,00:00,UTC,6.4,9.9,2.5
2020,4,9,00:00,UTC,6.2,10.3,4.5
2020,4,10,00:00,UTC,3.6,8.6,0.6
2020,4,11,00:00,UTC,4,8,-0.4
2020,4,12,00:00,UTC,4.5,6.2,1.7
2020,4,13,00:00,UTC,4.4,7.5,1.8
2020,4,14,00:00,UTC,2.2,6.6,0.4
2020,4,15,00:00,UTC,3.7,7.6,0.3
2020,4,16,00:00,UTC,3,7.2,0.3
2020,4,17,00:00,UTC,4.6,7.9,1.6
2020,4,18,00:00,UTC,6,9.9,2.2
2020,4,19,00:00,UTC,6.6,10.1,2.1
2020,4,20,00:00,UTC,9.4,12.7,5.9
2020,4,21,00:00,UTC,10.4,15.7,4.9
2020,4,22,00:00,UTC,7.3,11.9,5.4
2020,4,23,00:00,UTC,8.2,13.4,2.9
2020,4,24,00:00,UTC,6.9,11.4,4.4
2020,4,25,00:00,UTC,4.5,9.5,-0.8
2020,4,26,00:00,UTC,4.9,9.2,0
2020,4,27,00:00,UTC,4.8,8.3,1.1
2020,4,28,00:00,UTC,4.4,6.4,3.1
2020,4,29,00:00,UTC,2.9,6.5,1.3
2020,4,30,00:00,UTC,3.1,6.5,-0.7
2020,5,1,00:00,UTC,6.5,9.6,2.9
2020,5,2,00:00,UTC,8.4,12.4,5.9
2020,5,3,00:00,UTC,7.7,11.3,6.6
2020,5,4,00:00,UTC,6.3,9,4.6
2020,5,5,00:00,UTC,9.9,14.3,3.3
2020,5,6,00:00,UTC,11.2,16.5,6.2
2020,5,7,00:00,UTC,9.2,14.1,3.5
2020,5,8,00:00,UTC,7.8,11.3,2.9
2020,5,9,00:00,UTC,10.1,14.8,5.6
2020,5,10,00:00,UTC,9.3,12.5,4.9
2020,5,11,00:00,UTC,5.3,11.7,0.6
