Kunta,Maakunta,Ei tietoa saatavilla,Oppilaita kunnassa,Oppilaita väistötiloissa 2018,Osuus 2018,"Oppilaita väistötiloissa 2019, arvio","Osuus 2019, arvio"
Akaa,Pirkanmaa,FALSE,1895,816,"0,431",816,"0,431"
Alajärvi,Etelä-Pohjanmaa,FALSE,1107,81,"0,073",81,"0,073"
Alavieska,Pohjois-Pohjanmaa,FALSE,329,0,"0,000",0,"0,000"
Alavus,Etelä-Pohjanmaa,FALSE,1300,0,"0,000",0,"0,000"
Asikkala,Päijät-Häme,FALSE,881,0,"0,000",0,"0,000"
Askola,Uusimaa,FALSE,648,112,"0,173",112,"0,173"
Aura,Varsinais-Suomi,FALSE,485,0,"0,000",0,"0,000"
Enonkoski,Etelä-Savo,FALSE,130,0,"0,000",0,"0,000"
Enontekiö,Lappi,FALSE,165,0,"0,000",0,"0,000"
Espoo,Uusimaa,FALSE,31862,3483,"0,109",4051,"0,127"
Eura,Satakunta,FALSE,1264,0,"0,000",0,"0,000"
Eurajoki,Satakunta,FALSE,1066,0,"0,000",0,"0,000"
Evijärvi,Etelä-Pohjanmaa,FALSE,267,46,"0,172",46,"0,172"
Forssa,Kanta-Häme,FALSE,1488,0,"0,000",0,"0,000"
Haapajärvi,Pohjois-Pohjanmaa,FALSE,943,232,"0,246",232,"0,246"
Haapavesi,Pohjois-Pohjanmaa,FALSE,905,12,"0,013",20,"0,022"
Hailuoto,Pohjois-Pohjanmaa,FALSE,79,0,"0,000",0,"0,000"
Halsua,Keski-Pohjanmaa,FALSE,99,0,"0,000",0,"0,000"
Hamina,Kymenlaakso,FALSE,1837,62,"0,034",62,"0,034"
Hankasalmi,Keski-Suomi,FALSE,510,56,"0,110",56,"0,110"
Hanko,Uusimaa,FALSE,784,0,"0,000",0,"0,000"
Harjavalta,Satakunta,FALSE,643,41,"0,064",41,"0,064"
Hartola,Päijät-Häme,FALSE,182,0,"0,000",0,"0,000"
Hattula,Kanta-Häme,FALSE,1104,0,"0,000",0,"0,000"
Hausjärvi,Kanta-Häme,FALSE,965,265,"0,275",265,"0,275"
Heinola,Päijät-Häme,FALSE,1545,311,"0,201",311,"0,201"
Heinävesi,Etelä-Savo,FALSE,281,0,"0,000",0,"0,000"
Helsinki,Uusimaa,FALSE,43180,2706,"0,063",3017,"0,070"
Hirvensalmi,Etelä-Savo,FALSE,159,0,"0,000",0,"0,000"
Hollola,Päijät-Häme,FALSE,2631,98,"0,037",98,"0,037"
Honkajoki,Satakunta,FALSE,129,45,"0,349",45,"0,349"
Huittinen,Satakunta,FALSE,976,317,"0,325",317,"0,325"
Humppila,Kanta-Häme,FALSE,234,0,"0,000",0,"0,000"
Hyrynsalmi,Kainuu,FALSE,143,122,"0,853",0,"0,000"
Hyvinkää,Uusimaa,FALSE,4842,0,"0,000",0,"0,000"
Hämeenkyrö,Pirkanmaa,FALSE,1160,0,"0,000",0,"0,000"
Hämeenlinna,Kanta-Häme,FALSE,6445,1355,"0,210",1355,"0,210"
Ii,Pohjois-Pohjanmaa,FALSE,1520,126,"0,083",126,"0,083"
Iisalmi,Pohjois-Savo,FALSE,2047,75,"0,037",75,"0,037"
Iitti,Kymenlaakso,FALSE,646,0,"0,000",0,"0,000"
Ikaalinen,Pirkanmaa,FALSE,643,0,"0,000",0,"0,000"
Ilmajoki,Etelä-Pohjanmaa,FALSE,1552,0,"0,000",0,"0,000"
Ilomantsi,Pohjois-Karjala,FALSE,371,alle 10,,alle 10,
Imatra,Etelä-Karjala,FALSE,2164,669,"0,309",669,"0,309"
Inari,Lappi,FALSE,593,184,"0,310",184,"0,310"
Inkoo,Uusimaa,FALSE,388,0,"0,000",0,"0,000"
Isojoki,Etelä-Pohjanmaa,FALSE,173,0,"0,000",0,"0,000"
Isokyrö,Pohjanmaa,FALSE,528,0,"0,000",0,"0,000"
Janakkala,Kanta-Häme,EPÄTOSI,1858,18,"0,010",18,"0,010"
Joensuu,Pohjois-Karjala,FALSE,5384,570,"0,106",0,"0,000"
Jokioinen,Kanta-Häme,FALSE,578,0,"0,000",0,"0,000"
Joroinen,Etelä-Savo,FALSE,439,0,"0,000",0,"0,000"
Joutsa,Keski-Suomi,FALSE,374,0,"0,000",0,"0,000"
Juuka,Pohjois-Karjala,FALSE,380,14,"0,037",14,"0,037"
Juupajoki,Pirkanmaa,FALSE,194,0,"0,000",0,"0,000"
Juva,Etelä-Savo,FALSE,501,178,"0,355",178,"0,355"
Jyväskylä,Keski-Suomi,FALSE,12343,0,"0,000",0,"0,000"
Jämijärvi,Satakunta,FALSE,154,0,"0,000",0,"0,000"
Jämsä,Keski-Suomi,FALSE,1888,434,"0,230",434,"0,230"
Järvenpää,Uusimaa,FALSE,4382,614,"0,140",419,"0,096"
Kaarina,Varsinais-Suomi,FALSE,3787,1208,"0,319",1208,"0,319"
Kaavi,Pohjois-Savo,FALSE,244,0,"0,000",0,"0,000"
Kajaani,Kainuu,FALSE,3700,503,"0,136",503,"0,136"
Kalajoki,Pohjois-Pohjanmaa,TRUE,,,,,
Kangasala,Pirkanmaa,FALSE,3856,456,"0,118",556,"0,144"
Kangasniemi,Etelä-Savo,FALSE,432,0,"0,000",0,"0,000"
Kankaanpää,Satakunta,FALSE,1108,0,"0,000",40,"0,036"
Kannonkoski,Keski-Suomi,FALSE,140,0,"0,000",0,"0,000"
Kannus,Keski-Pohjanmaa,FALSE,607,0,"0,000",0,"0,000"
