year,age
1800,30.64
1801,30.71
1802,30.6
1803,30.28
1804,30.2
1805,30.78
1806,30.79
1807,30.74
1808,30.71
1809,30.73
1810,30.82
1811,30.82
1812,30.22
1813,30.75
1814,30.71
1815,30.94
1816,31.05
1817,31.06
1818,31.02
1819,31
1820,31.1
1821,31.15
1822,31.12
1823,31.16
1824,31.12
1825,31.13
1826,31.1
1827,31.19
1828,31.12
1829,31.15
1830,31.19
1831,31.16
1832,30.62
1833,30.55
1834,31.08
1835,31.23
1836,31.28
1837,30.95
1838,30.91
1839,31.29
1840,31.27
1841,31.33
1842,31.29
1843,31.34
1844,31.39
1845,31.45
1846,31.17
1847,31.15
1848,30.78
1849,30.94
1850,31.38
1851,31.06
1852,30.72
1853,30.43
1854,29.88
1855,29.64
1856,29.55
1857,29.73
1858,29.94
1859,30.06
1860,30.15
1861,30.03
1862,30.86
1863,30.99
1864,31
1865,31.12
1866,30.4
1867,31.39
1868,31.19
1869,30.55
1870,31.36
1871,31.09
1872,31.47
1873,31.67
1874,31.75
1875,31.67
1876,30.21
1877,29.63
1878,29.04
1879,31.11
1880,31.89
1881,32.12
1882,31.95
1883,32.09
1884,32.26
1885,32.28
1886,32.38
1887,32.44
1888,32.33
1889,32.21
1890,32.11
1891,31.81
1892,31.64
1893,32.45
1894,32.68
1895,32.64
1896,32.64
1897,32.32
1898,33.32
1899,33.05
1900,32.17
1901,33.18
1902,33.43
1903,33.63
1904,33.42
1905,33.46
1906,33.59
1907,33.32
1908,34.22
1909,34.39
1910,34.49
1911,34.59
1912,35.08
1913,35
1914,34.52
1915,33.79
1916,33.88
1917,33.82
1918,23
1919,34.52
1920,34.75
1921,35.48
1922,35.79
1923,36.62
1924,37.02
1925,37.13
1926,37.59
1927,36.31
1928,38.24
1929,37.48
1930,38.87
1931,39.04
1932,39.1
1933,38.29
1934,40.12
1935,40.64
1936,40.93
1937,40.58
1938,40.98
1939,41.3
1940,41.02
1941,39.62
1942,38.48
1943,36.96
1944,38.29
1945,39.69
1946,43.96
1947,43.94
1948,46.33
1949,47.22
1950,48.25
1951,48.59
1952,49.34
1953,50.04
1954,51.08
1955,51.93
1956,52.83
1957,53.07
1958,53.58
1959,51.42
1960,50.38
1961,51.3
1962,53.75
1963,55.69
1964,56.4
1965,56.96
1966,57.5
1967,58.16
1968,58.47
1969,58.95
1970,59.8
1971,60.14
1972,60.6
1973,61
1974,61.29
1975,61.64
1976,61.82
1977,62.27
1978,62.55
1979,62.81
1980,63.09
1981,63.31
1982,63.63
1983,63.88
1984,64.15
1985,64.44
1986,64.79
1987,65.02
1988,65.17
1989,65.4
1990,65.55
1991,65.66
1992,65.83
1993,65.89
1994,65.82
1995,66.2
1996,66.48
1997,66.7
1998,66.92
1999,67.1
2000,67.38
2001,67.72
2002,68
2003,68.33
2004,68.65
2005,69.03
2006,69.54
2007,69.94
2008,70.15
2009,70.56
2010,70.75
2011,71.18
2012,71.54
2013,71.91
2014,72.16
2015,72.37
2016,72.63
2017,72.98
2018,73.2
2019,73.4
2020,73.58
